RAhms	DEdms	Vmag	Plx	B-V
14 29 47.75	-62 40 52.9	11.01	 772.33	 1.807
14 39 39.39	-60 50 22.1	 1.35	 742.12	 0.900
14 39 40.90	-60 50 06.5	-0.01	 742.12	 0.710
17 57 48.97	+04 40 05.8	 9.54	 549.01	 1.570
11 03 20.61	+35 58 53.3	 7.49	 392.40	 1.502
06 45 09.25	-16 42 47.3	-1.44	 379.21	 0.009
18 49 48.96	-23 50 08.8	10.37	 336.48	 1.510
03 32 56.42	-09 27 29.9	 3.72	 310.75	 0.881
23 05 47.17	-35 51 22.7	 7.35	 303.90	 1.483
11 47 44.04	+00 48 27.1	11.12	 299.58	 1.746
21 06 50.84	+38 44 29.4	 5.20	 287.13	 1.069
07 39 18.54	+05 13 39.0	 0.40	 285.93	 0.432
21 06 52.19	+38 44 03.9	 6.05	 285.42	 1.309
18 42 48.51	+59 37 20.5	 9.70	 284.48	 1.561
18 42 48.22	+59 37 33.7	 8.94	 280.28	 1.504
00 18 20.54	+44 01 19.0	 8.09	 280.27	 1.560
22 03 17.44	-56 46 47.3	 4.69	 275.76	 1.056
01 44 05.13	-15 56 22.4	 3.49	 274.17	 0.727
01 12 29.90	-17 00 01.9	12.10	 269.05	 1.850
07 27 24.16	+05 14 05.2	 9.84	 263.26	 1.573
05 11 35.21	-45 00 16.2	 8.86	 255.26	 1.543
21 17 17.71	-38 51 52.5	 6.69	 253.37	 1.397
22 28 00.42	+57 41 49.3	 9.59	 249.52	 1.613
06 29 23.00	-02 48 44.9	11.12	 242.89	 1.690
14 49 33.51	-26 06 21.7	11.72	 235.24	 1.480
16 30 18.11	-12 39 35.0	10.10	 234.51	 1.604
00 05 20.29	-37 21 06.1	 8.56	 229.33	 1.462
03 22 05.57	-13 16 41.2	12.16	 227.45	
00 49 09.18	+05 23 42.7	12.37	 226.95	 0.554
14 49 32.69	-26 06 40.2	12.07	 221.80	 1.524
17 36 26.41	+68 20 32.0	 9.15	 220.85	 1.505
17 28 39.46	-46 53 35.0	 9.38	 220.43	 1.553
23 06 38.89	-14 52 20.6	12.24	 216.52	
11 45 39.26	-64 50 26.4	11.50	 216.40	 0.196
22 53 16.16	-14 15 43.4	10.16	 212.69	 1.597
11 05 32.13	+43 31 28.1	 8.82	 206.94	 1.491
10 11 23.36	+49 27 19.7	 6.60	 205.22	 1.326
