#  wavelength    Flux         Std.Dev.
#  [Angstroem]   [F(5500)]    [N/A]

  6134.030   84092.8060   51.3
  6134.047   83795.6829   51.1
  6134.065   83623.2028   51.0
  6134.082   83271.7690   50.8
  6134.100   82987.4178   50.5
  6134.117   83041.5508   57.0
  6134.134   82497.7216   50.5
  6134.152   82097.2045   55.2
  6134.169   81263.9303   60.3
  6134.187   81522.5581   56.2
  6134.204   81137.2089   55.9
  6134.221   80671.2469   53.3
  6134.239   80226.8863   48.5
  6134.256   79767.4193   42.6
  6134.274   79411.4754   42.4
  6134.291   79112.9589   45.3
  6134.308   78759.9125   45.0
  6134.326   78459.4141   41.7
  6134.343   78294.3655   41.9
  6134.361   78251.4395   44.9
  6134.378   78048.3541   44.6
  6134.396   78063.4023   44.7
  6134.413   77962.2180   51.1
  6134.430   78261.3378   44.3
  6134.448   78434.3542   48.5
  6134.465   78368.5407   44.7
  6134.483   78298.9356   41.6
  6134.500   78447.3944   49.4
  6134.517   78143.3161   44.6
  6134.535   77920.5354   48.3
  6134.552   77642.2691   44.4
  6134.570   77502.1480   51.7
  6134.587   76889.5765   47.1
  6134.604   76233.6701   44.2
  6134.622   75438.2050   40.9
  6134.639   74577.5418   50.5
  6134.657   72994.9933   42.7
  6134.674   71623.9199   42.1
  6134.692   70228.3041   41.6
  6134.709   68127.6079   43.7
  6134.726   66120.0897   40.3
  6134.744   63765.6920   39.5
  6134.761   61448.2785   38.5
  6134.779   59229.8811   39.8
  6134.796   56372.3690   36.0
  6134.813   53823.2132   35.1
  6134.831   51514.8993   34.9
  6134.848   49475.5670   32.2
  6134.866   47859.2317   31.2
  6134.883   46318.8280   32.3
  6134.900   45301.3358   32.6
  6134.918   44576.9334   29.9
  6134.935   44271.8530   29.9
  6134.953   44244.5143   30.0
  6134.970   44736.5985   32.0
  6134.988   45543.6318   32.2
  6135.005   46536.5256   32.7
  6135.022   47860.5148   33.0
  6135.040   49242.7509   33.4
  6135.057   51079.2639   35.6
  6135.075   52947.7231   39.8
  6135.092   54952.6506   43.9
  6135.109   57094.2492   41.4
  6135.127   59054.7691   42.1
  6135.144   60889.1548   49.9
  6135.162   62900.0611   42.1
  6135.179   64905.4051   43.2
  6135.196   66694.9302   44.1
  6135.214   67781.2878   47.7
  6135.231   69329.5691   44.9
  6135.249   70160.8793   41.5
  6135.266   70761.7018   41.7
  6135.284   70804.7876   41.6
  6135.301   70551.9806   45.1
  6135.318   70289.1617   41.2
  6135.336   69445.2357   40.9
  6135.353   68348.8022   39.9
  6135.371   66932.8113   39.2
  6135.388   65504.7374   36.9
  6135.405   64232.6767   39.4
  6135.423   62805.0624   38.7
  6135.440   61511.7226   38.1
  6135.458   60108.0229   37.7
  6135.475   58905.8781   34.7
  6135.492   57944.5291   36.2
  6135.510   56883.1733   34.0
  6135.527   55931.2290   33.6
  6135.545   54942.2907   35.7
  6135.562   53800.2000   35.5
  6135.580   52741.6567   35.2
  6135.597   51516.8411   34.7
  6135.614   50430.0594   34.2
  6135.632   49348.0562   36.4
  6135.649   48329.6464   39.0
  6135.667   47535.4199   38.7
  6135.684   46807.4030   38.2
  6135.701   46279.8765   35.6
  6135.719   45806.4396   32.4
  6135.736   45741.6510   35.4
  6135.754   46055.6161   35.5
  6135.771   46499.9330   35.6
  6135.788   47122.4120   33.1
  6135.806   47815.8663   39.6
  6135.823   49191.4081   36.7
  6135.841   50667.1728   34.2
  6135.858   52226.2442   38.1
  6135.875   53896.1210   38.8
  6135.893   55549.7015   39.3
  6135.910   57557.8797   40.3
  6135.928   59436.1624   40.9
  6135.945   61249.6968   45.9
  6135.963   63141.7183   46.8
  6135.980   64750.0138   47.1
  6135.997   66788.0805   41.4
  6136.015   68344.0788   43.4
  6136.032   70050.5700   51.7
  6136.050   71479.1035   48.6
  6136.067   72555.6192   49.3
  6136.084   73383.5278   51.2
  6136.102   74445.2934   50.2
  6136.119   74849.5990   47.1
  6136.137   75779.3905   41.0
  6136.154   76500.4761   43.3
  6136.171   76855.4393   50.8
  6136.189   77950.0504   44.9
  6136.206   78503.5431   49.0
  6136.224   79294.1453   49.4
  6136.241   79738.7994   49.3
  6136.259   80065.3930   49.7
  6136.276   80823.5546   46.2
  6136.293   81498.6006   46.3
  6136.311   82338.0311   50.7
  6136.328   82898.1463   50.7
  6136.346   83477.1998   57.4
  6136.363   83274.3615   54.7
  6136.380   83583.0414   51.0
  6136.398   84039.2162   51.3
  6136.415   84394.5489   53.6
  6136.433   84378.2976   53.3
  6136.450   84198.2627   53.1
  6136.467   83981.2475   52.9
  6136.485   83577.1388   52.9
  6136.502   82782.5742   46.8
  6136.520   82120.7162   46.8
  6136.537   81088.1352   43.0
  6136.555   80001.0914   42.7
  6136.572   78757.2252   45.8
  6136.589   77272.5893   47.7
  6136.607   75842.9372   44.3
  6136.624   74069.8964   43.7
  6136.642   72038.4908   42.9
  6136.659   70105.4564   42.2
  6136.676   67540.1705   41.0
  6136.694   65199.6098   42.5
  6136.711   62741.6706   41.6
  6136.729   60011.2694   38.3
  6136.746   57433.9095   36.8
  6136.763   54307.4356   33.5
  6136.781   51641.0267   37.0
  6136.798   49081.7954   33.2
  6136.816   46171.6192   30.6
  6136.833   43926.2802   29.8
  6136.851   41385.9825   33.4
  6136.868   39121.8082   30.6
  6136.885   37301.0310   27.7
  6136.903   35435.9120   29.3
  6136.920   33963.7432   28.8
  6136.938   32671.3177   28.2
  6136.955   31491.5822   25.7
  6136.972   30773.0562   25.5
  6136.990   30209.7339   25.4
  6137.007   29867.8381   25.4
  6137.025   29780.1161   27.5
  6137.042   29788.5768   27.1
  6137.059   30061.8400   27.1
  6137.077   30459.6555   27.2
  6137.094   30883.2343   29.8
  6137.112   31322.6550   27.8
  6137.129   32027.8407   28.1
  6137.147   32724.2892   28.2
  6137.164   33350.2256   28.5
  6137.181   34015.0745   28.6
  6137.199   34676.8619   31.2
  6137.216   35168.3392   29.3
  6137.234   35594.4068   27.8
  6137.251   35950.4305   29.1
  6137.268   36197.6478   31.7
  6137.286   36643.8075   33.6
  6137.303   36860.9201   29.6
  6137.321   37147.7621   29.6
  6137.338   37421.4055   27.6
  6137.355   37764.5728   28.0
  6137.373   38204.2940   30.4
  6137.390   38543.5353   32.2
  6137.408   39181.9045   32.1
  6137.425   40012.3575   34.6
  6137.443   40860.4213   33.6
  6137.460   42044.4766   37.9
  6137.477   43033.0691   34.9
  6137.495   44302.5891   32.4
  6137.512   45398.3195   32.9
  6137.530   46960.4238   34.4
  6137.547   48519.2470   38.3
  6137.564   49813.5932   38.7
  6137.582   50900.0410   40.5
  6137.599   51998.7273   45.5
  6137.617   53759.3683   39.1
  6137.634   55020.1858   36.3
  6137.651   55983.0121   38.5
  6137.669   56805.3242   39.9
  6137.686   57552.3942   37.2
  6137.704   58083.0436   37.4
  6137.721   58354.7771   41.0
  6137.738   58281.7722   40.9
  6137.756   58068.5117   37.5
  6137.773   57542.1426   37.7
  6137.791   56772.6419   39.5
  6137.808   55583.8404   39.0
  6137.826   54345.9502   36.4
  6137.843   52976.7930   35.9
  6137.860   51450.5113   35.2
  6137.878   50111.3832   34.8
  6137.895   48544.2885   37.0
  6137.913   47079.0948   36.4
  6137.930   45699.0850   35.7
  6137.947   44250.2631   32.5
  6137.965   43023.6059   31.6
  6137.982   41846.4332   33.9
  6138.000   41003.2462   29.1
  6138.017   40305.1166   28.6
  6138.034   39690.3687   28.3
  6138.052   39320.0641   28.1
  6138.069   39090.9856   30.3
  6138.087   39027.8923   30.6
  6138.104   39118.8868   30.5
  6138.122   39424.6423   30.5
  6138.139   39828.1326   33.6
  6138.156   40556.6427   28.8
  6138.174   41393.5020   29.0
  6138.191   42173.0716   31.4
  6138.209   43265.3191   34.3
  6138.226   44733.5215   36.5
  6138.243   45856.0613   35.5
  6138.261   47108.7484   38.8
  6138.278   48530.0792   39.6
  6138.296   50104.5366   34.7
  6138.313   51971.5575   35.3
  6138.330   53742.7395   39.0
  6138.348   55663.9170   44.1
  6138.365   57548.7108   46.6
  6138.383   59153.4120   41.2
  6138.400   61097.7448   42.1
  6138.418   62996.6702   43.0
  6138.435   64984.1813   43.8
  6138.452   66786.6848   44.5
  6138.470   68400.4555   49.6
  6138.487   70259.2375   42.1
  6138.505   71464.0049   49.6
  6138.522   73017.9240   43.2
  6138.539   73855.2839   51.9
  6138.557   74507.7107   47.1
  6138.574   75077.1582   52.0
  6138.592   75417.9201   52.4
  6138.609   75833.4841   51.6
  6138.626   75468.0827   51.4
  6138.644   74933.6097   44.1
  6138.661   74245.2724   43.8
  6138.679   73239.2492   43.5
  6138.696   72258.3589   43.2
  6138.714   70939.6089   39.4
  6138.731   69723.0943   41.7
  6138.748   68625.6186   45.1
  6138.766   67695.7691   41.2
  6138.783   67024.7618   38.2
  6138.801   66645.2631   40.8
  6138.818   66504.8194   40.8
  6138.835   66803.6318   44.2
  6138.853   67292.7674   49.0
  6138.870   67943.9988   49.5
  6138.888   68917.7402   50.2
  6138.905   70025.3706   45.8
  6138.922   71236.9960   42.6
  6138.940   73007.5525   46.9
  6138.957   74444.2650   47.3
  6138.975   75582.8828   48.1
