Name	VarType	magMax	magMin	P
LMC V0627   	DCEP    	14.80	16.200	  13.62491000
LMC V0633   	DCEP    	15.50	16.600	   2.69369700
LMC V0638   	DCEP    	15.00	15.800	   6.95475000
LMC V0643   	DCEP    	14.90	16.000	   5.41542800
LMC V0676   	DCEP    	14.50	15.800	  14.67067000
LMC V0696   	DCEP    	14.20	15.500	  10.41150000
LMC V0711   	DCEP    	15.90	16.800	   4.26698200
LMC V0716   	DCEP    	14.20	15.600	  14.48816000
LMC V0722   	DCEP    	15.10	15.700	   4.99218800
LMC V0728   	DCEP    	13.90	15.100	  10.79579000
LMC V0730   	DCEP    	15.70	16.900	   3.08370000
LMC V0732   	DCEP    	16.00	17.000	   2.80200000
LMC V0742   	DCEP    	15.80	17.000	   4.69400000
LMC V0772   	DCEP    	15.60	17.000	   2.56100000
LMC V0784   	DCEP    	14.30	15.900	  17.52095000
LMC V0787   	DCEP    	16.00	17.100	   3.56700000
LMC V0805   	DCEP    	13.70	15.100	  21.25040000
LMC V0810   	DCEP    	15.50	16.800	   2.81187300
LMC V0832   	DCEP    	13.60	15.600	  22.32840000
LMC V0835   	DCEP    	13.25	14.060	  25.80130000
LMC V0839   	DCEP    	15.90	16.400	   7.84554000
LMC V0847   	DCEP    	14.20	15.000	   9.71100000
LMC V0864   	DCEP    	14.70	15.300	   5.77720800
LMC V0874   	DCEP    	15.50	16.600	   8.36407000
LMC V0876   	DCEP    	14.20	16.000	  17.19720000
LMC V0878   	DCEP    	16.00	17.000	   3.00600000
LMC V0880   	DCEP    	14.30	16.100	  15.98754000
LMC V0895   	DCEP    	15.60	16.800	   4.41900000
LMC V0900   	DCEP    	15.50	16.700	   4.33472300
LMC V0905   	DCEP    	14.70	16.100	   4.41382300
LMC V0948   	DCEP    	14.40	15.800	   7.70501000
LMC V0951   	DCEP    	16.20	17.300	   4.38106500
LMC V0952   	DCEP    	15.80	16.500	   4.79700000
LMC V0977   	DCEP    	15.90	17.000	   1.39330000
LMC V0995   	DCEP    	15.60	17.100	   3.39259900
LMC V0999   	DCEP    	15.70	16.700	   7.39432000
LMC V1016   	DCEP    	15.30	16.700	   4.67556500
LMC V1019   	DCEP    	16.20	17.000	   3.50898700
LMC V1032   	DCEP    	13.44	14.400	  21.12065000
LMC V1040   	DCEP    	14.50	16.300	  12.91358000
LMC V1041   	DCEP    	15.40	16.600	   5.06634400
LMC V1048   	DCEP    	16.00	17.100	   4.44300000
LMC V1065   	DCEP    	16.30	17.100	   3.71127700
LMC V1067   	DCEP    	16.20	17.400	   2.80844500
LMC V1084   	DCEP    	16.60	17.400	   4.81240000
LMC V1087   	DCEP    	15.70	16.800	  12.62355000
LMC V1088   	DCEP    	15.10	16.100	  10.46950000
LMC V1089   	DCEP    	12.34	13.460	  47.54000000
LMC V1097   	DCEP    	12.91	14.160	  31.02990000
LMC V1115   	DCEP    	16.80	17.400	   3.74472500
LMC V1119   	DCEP    	15.70	16.700	   4.90779300
LMC V1120   	DCEP    	15.50	16.600	   5.19074400
LMC V1123   	DCEP    	16.40	17.500	   4.20418200
LMC V1133   	DCEP    	15.50	16.700	   3.44081300
LMC V1134   	DCEP    	12.55	13.860	  26.35900000
LMC V1137   	DCEP    	16.40	17.500	   2.16800000
LMC V1138   	DCEP    	15.70	17.100	   3.51584100
LMC V1140   	DCEP    	15.10	16.600	   3.26654600
LMC V1141   	DCEP    	15.80	16.700	   5.02400000
LMC V1143   	DCEP    	16.20	16.800	   1.60322700
LMC V1146   	DCEP    	13.60	14.900	  18.46584000
LMC V1149   	DCEP    	15.10	16.700	   4.33220800
LMC V1177   	DCEP    	15.00	16.500	   4.74332600
LMC V1178   	DCEP    	13.20	14.700	  30.39020000
LMC V1192   	DCEP    	15.40	16.600	   5.07379000
LMC V1201   	DCEP    	16.00	16.900	   2.60000000
LMC V1219   	DCEP    	14.50	15.800	  13.87952000
LMC V1223   	DCEP    	16.20	17.500	   3.58572800
LMC V1226   	DCEP    	16.00	17.200	   3.58692000
LMC V1230   	DCEP    	15.20	15.800	   3.27000000
LMC V1236   	DCEP    	14.60	16.200	   7.92662000
LMC V1237   	DCEP    	14.80	16.700	  11.85790000
LMC V1243   	DCEP    	17.20	17.700	   3.03785200
LMC V1245   	DCEP    	13.81	14.510	  13.62724000
LMC V1249   	DCEP    	15.08	15.750	   3.10817800
LMC V1255   	DCEP    	15.30	16.600	  11.90767000
LMC V1266   	DCEP    	15.70	16.900	   4.46000000
LMC V1267   	DCEP    	16.20	17.400	   3.13500000
LMC V1270   	DCEP    	12.26	13.350	  37.58200000
LMC V1277   	DCEP    	15.10	16.600	   4.14100000
LMC V1280   	DCEP    	16.40	17.400	   3.30800000
LMC V1299   	DCEP    	15.20	16.000	   5.82992200
LMC V1302   	DCEP    	16.00	16.900	   4.45148300
LMC V1307   	DCEP    	14.50	16.000	   8.18860000
LMC V1311   	DCEP    	15.60	16.800	   5.79139400
LMC V1316   	DCEP    	16.10	16.800	   2.52440800
LMC V1351   	DCEP    	14.20	15.700	  13.91498000
LMC V1366   	DCEP    	13.90	15.400	  15.12320000
