Name	magMax	magMin	P
M31 V0012   	21.80	22.400	   3.94510000
M31 V0014   	22.20	22.800	   2.51360000
M31 V0015   	20.80	22.000	  12.87830000
M31 V0017   	21.20	22.400	   6.73170000
M31 V0018   	21.60	22.200	   3.09830000
M31 V0021   	19.20	20.200	  45.38000000
M31 V0023   	22.10	22.900	   3.59350000
M31 V0028   	20.10	20.800	  13.33600000
M31 V0029   	22.10	22.800	   3.80300000
M31 V0035   	22.60	23.300	   3.71100000
M31 V0036   	20.60	21.700	   9.64320000
M31 V0039   	20.80	21.900	   8.50920000
M31 V0041   	21.00	21.300	   2.97760000
M31 V0042   	21.70	22.700	   3.34770000
M31 V0044   	21.30	22.300	   3.04310000
M31 V0050   	21.90	22.700	   2.59280000
M31 V0051   	20.70	22.000	  12.84000000
M31 V0059   	21.20	22.400	   4.36780000
M31 V0068   	20.40	22.000	  12.71440000
M31 V0069   	19.80	21.400	  21.26300000
M31 V0071   	22.40	23.000	   3.40320000
M31 V0083   	21.80	22.500	   4.02500000
M31 V0085   	21.30	22.300	   4.36800000
M31 V0089   	20.70	22.400	  22.30200000
M31 V0091   	21.50	22.700	  17.34600000
M31 V0092   	21.80	22.500	   5.08100000
M31 V0094   	21.50	22.400	   5.00800000
M31 V0095   	21.40	22.500	   6.04700000
M31 V0096   	21.50	22.500	  11.01300000
M31 V0097   	20.20	21.500	  13.12500000
M31 V0099   	22.10	22.800	   7.70400000
M31 V0100   	21.30	22.400	   6.20700000
M31 V0101   	22.20	23.100	   5.35000000
M31 V0104   	22.00	22.900	   6.04800000
M31 V0105   	21.50	22.800	   6.29300000
M31 V0106   	21.70	22.300	   9.18100000
M31 V0107   	21.90	22.600	   7.04200000
M31 V0109   	21.30	21.900	   3.34600000
M31 V0111   	21.80	22.600	   2.50000000
M31 V0112   	20.80	21.500	   4.77300000
M31 V0113   	21.20	22.400	  11.94700000
M31 V0114   	19.20	19.900	  15.42000000
M31 V0116   	21.70	22.600	   3.00000000
M31 V0117   	21.10	22.100	   6.54500000
M31 V0118   	19.70	21.300	  15.52400000
M31 V0121   	21.40	22.500	   5.42000000
M31 V0124   	21.60	22.300	   3.83300000
M31 V0126   	21.60	22.100	   3.22700000
M31 V0127   	21.90	22.900	   5.12000000
M31 V0128   	21.00	22.300	   6.00200000
M31 V0129   	21.60	22.300	   6.46000000
M31 V0130   	21.50	22.400	   4.28900000
M31 V0133   	19.70	21.200	  25.32000000
M31 V0136   	21.40	22.400	   6.10100000
M31 V0137   	21.50	22.400	   5.90000000
M31 V0138   	21.50	22.300	   5.26600000
M31 V0142   	20.90	21.900	  10.47900000
M31 V0145   	21.40	22.400	   6.97800000
M31 V0147   	20.80	21.500	  13.08900000
M31 V0148   	20.50	21.500	   8.76200000
M31 V0149   	20.90	21.500	   9.55100000
M31 V0150   	21.00	21.900	   6.54500000
M31 V0151   	21.00	22.100	   9.52400000
M31 V0152   	21.60	22.600	   5.82300000
M31 V0155   	21.00	22.200	  12.40200000
M31 V0156   	21.30	22.200	   5.26000000
M31 V0157   	21.30	22.300	   8.09400000
M31 V0158   	21.30	21.700	  11.36800000
M31 V0161   	21.60	22.300	   4.83700000
M31 V0162   	21.30	22.300	   6.82300000
M31 V0163   	21.20	22.500	  21.55600000
M31 V0165   	21.50	22.400	   6.32900000
M31 V0167   	21.60	22.500	   3.80800000
M31 V0168   	21.10	22.000	   8.30100000
M31 V0169   	21.50	22.000	   2.74700000
M31 V0170   	19.50	20.800	  18.85300000
M31 V0171   	21.50	22.100	   8.80900000
M31 V0172   	21.70	22.700	   4.21900000
M31 V0174   	21.10	22.400	  13.25000000
M31 V0176   	20.40	21.000	  13.85000000
M31 V0177   	21.60	22.700	   6.50800000
M31 V0180   	20.90	21.400	   5.11700000
M31 V0181   	21.30	22.200	   5.33300000
M31 V0182   	21.20	21.500	   5.31600000
M31 V0183   	20.70	21.700	   9.93300000
M31 V0184   	21.40	22.100	   4.62000000
M31 V0186   	20.80	21.800	  14.44000000
M31 V0187   	20.60	21.600	  12.92080000
M31 V0188   	21.00	22.000	  10.01700000
M31 V0189   	21.50	22.500	   7.61300000
M31 V0190   	22.10	22.900	   5.64000000
M31 V0191   	20.90	22.100	   9.88100000
M31 V0193   	21.30	22.300	   4.94600000
M31 V0194   	20.90	22.000	   7.91100000
M31 V0195   	20.20	21.800	  17.15500000
M31 V0196   	21.60	22.400	   7.08500000
M31 V0197   	20.00	21.500	  25.49300000
M31 V0198   	21.30	22.400	   6.54500000
M31 V0199   	21.30	22.400	   8.43500000
M31 V0200   	21.40	22.300	   4.92100000
M31 V0201   	21.10	22.200	   8.01000000
M31 V0202   	21.90	22.500	   6.28300000
M31 V0203   	20.80	21.700	   9.03800000
M31 V0205   	20.50	21.800	   7.00600000
M31 V0206   	21.70	22.300	   9.20800000
M31 V0207   	21.70	22.500	   5.84800000
M31 V0208   	21.70	22.500	   7.78000000
M31 V0209   	21.30	22.200	   9.69900000
M31 V0212   	20.50	21.600	  13.33800000
M31 V0215   	19.60	21.500	  17.55700000
M31 V0216   	21.60	22.600	   5.50000000
M31 V0220   	21.80	22.400	   6.46584000
M31 V0222   	21.60	22.500	   9.74100000
M31 V0228   	21.00	22.100	   7.00000000
M31 V0229   	21.90	22.700	   5.64700000
M31 V0230   	21.00	22.300	  15.23200000
M31 V0232   	21.60	22.400	  11.64130000
M31 V0233   	21.10	21.800	   9.48300000
M31 V0235   	20.70	21.500	   8.96100000
M31 V0236   	20.80	21.800	   8.17100000
M31 V0239   	21.40	22.600	   5.58900000
M31 V0240   	21.30	22.300	   7.55300000
M31 V0242   	21.60	22.600	   6.48100000
M31 V0243   	20.80	21.600	  12.29400000
M31 V0244   	21.90	22.600	   5.48600000
M31 V0246   	21.60	22.300	   2.05032000
M31 V0249   	21.10	22.400	   7.66700000
M31 V0250   	19.90	21.700	  17.56900000
M31 V0251   	21.30	22.400	   4.91500000
M31 V0252   	21.40	22.400	   6.00600000
M31 V0253   	21.40	22.400	   9.92100000
M31 V0254   	21.30	22.400	  10.68900000
M31 V0255   	21.60	22.300	  14.30600000
M31 V0256   	20.50	21.600	  13.47900000
M31 V0259   	20.90	21.600	   8.46400000
M31 V0260   	22.20	22.800	   5.65230000
M31 V0261   	22.30	23.000	   8.21000000
M31 V0263   	20.80	22.400	  20.02400000
M31 V0264   	20.70	22.500	  12.28580000
M31 V0265   	21.10	22.400	   7.45700000
M31 V0266   	21.60	22.400	   6.31300000
M31 V0267   	21.00	22.000	  10.59100000
M31 V0269   	21.50	22.600	   6.10634000
M31 V0270   	21.30	22.300	   5.97800000
M31 V0271   	21.40	22.600	   7.82300000
M31 V0272   	21.50	22.200	   6.66000000
M31 V0273   	22.20	23.200	   5.35183000
M31 V0274   	20.70	21.900	  10.52600000
M31 V0275   	21.50	22.300	   9.41200000
M31 V0277   	21.20	22.200	   5.09500000
M31 V0279   	21.30	22.300	   5.73585000
M31 V0280   	21.60	22.500	   5.48200000
M31 V0281   	20.90	22.100	  10.28800000
M31 V0282   	21.00	21.600	   9.57300000
M31 V0283   	21.00	22.200	   6.70806000
M31 V0284   	20.80	22.000	  12.35800000
M31 V0285   	20.70	21.400	   8.36500000
M31 V0286   	21.30	22.800	  14.16340000
M31 V0290   	21.80	22.600	   4.61000000
M31 V0291   	21.40	22.400	   4.61512000
M31 V0292   	21.40	22.000	   7.72300000
M31 V0293   	21.80	23.100	   4.83223000
M31 V0294   	22.20	22.700	   3.82661000
M31 V0295   	21.50	22.300	   8.39285000
M31 V0300   	21.40	22.500	   4.60800000
M31 V0302   	21.30	22.300	   6.64507000
M31 V0304   	21.90	22.500	   5.36055000
M31 V0305   	21.40	22.300	   7.53700000
M31 V0308   	21.20	22.100	   9.67755000
M31 V0310   	21.10	23.200	  13.05100000
M31 V0311   	22.20	22.900	   3.45400000
M31 V0312   	20.80	22.100	  17.60900000
M31 V0314   	21.50	22.200	   9.08527000
M31 V0315   	20.50	21.700	  13.96590000
M31 V0317   	21.70	22.200	   8.59600000
M31 V0318   	21.70	22.400	   6.53000000
M31 V0320   	20.60	22.200	  22.72500000
M31 V0322   	21.60	22.500	   5.49142000
M31 V0323   	21.60	22.600	   6.03900000
M31 V0325   	21.70	22.200	   4.25423000
M31 V0330   	20.60	21.700	  15.62500000
M31 V0333   	21.00	22.500	  13.29300000
M31 V0334   	20.50	21.800	   9.88100000
M31 V0335   	20.90	22.000	  15.01500000
M31 V0337   	21.20	22.600	  13.30000000
M31 V0338   	21.20	22.000	   7.57000000
M31 V0341   	21.40	22.500	   5.27600000
M31 V0342   	21.50	22.600	   5.72057000
M31 V0343   	21.90	23.000	   5.44200000
M31 V0345   	21.60	22.700	   6.19800000
M31 V0346   	20.40	21.700	  11.83100000
M31 V0349   	21.90	22.600	   4.48700000
M31 V0350   	20.60	22.000	  10.12500000
M31 V0351   	21.00	22.300	  14.79900000
M31 V0352   	21.70	23.000	   3.65400000
M31 V0355   	22.10	23.200	   4.08130000
M31 V0356   	21.20	22.400	   6.52555000
M31 V0357   	21.60	22.300	  11.92200000
M31 V0358   	21.70	22.200	   5.13800000
M31 V0360   	21.50	22.200	   5.34452000
M31 V0364   	21.90	22.700	   3.78191000
M31 V0365   	21.00	22.400	  14.40700000
M31 V0367   	21.50	22.000	   2.93172000
M31 V0368   	20.90	21.800	   6.07449000
M31 V0369   	20.70	22.200	  10.46090000
M31 V0370   	21.00	21.900	  10.26500000
M31 V0371   	20.80	21.400	   7.12000000
M31 V0372   	21.40	22.300	   5.00000000
M31 V0374   	21.40	22.600	   8.36700000
M31 V0375   	21.10	22.200	   6.10142000
M31 V0376   	21.80	22.300	   5.04000000
M31 V0379   	21.70	22.300	  12.06740000
M31 V0380   	21.70	22.400	   6.19600000
