Name	VarType	magMax	magMin	P
M33 V0003   	DCEP    	19.30	20.900	  41.70000000
M33 V0004   	DCEP    	18.90	21.200	  27.36600000
M33 V0005   	DCEP    	20.63	22.020	  14.62300000
M33 V0007   	DCEP    	19.80	21.000	  26.55000000
M33 V0009   	DCEP    	19.97	21.370	  18.89250000
M33 V0011   	DCEP    	20.19	21.900	  23.43500000
M33 V0012   	DCEP    	20.22	21.800	  21.68800000
M33 V0016   	DCEP    	20.42	21.960	  17.50000000
M33 V0017   	DCEP    	20.50	22.060	  23.29000000
M33 V0018   	DCEP    	19.60	20.600	  34.10000000
M33 V0019   	DCEP    	18.70	20.100	  54.70600000
M33 V0021   	DCEP    	20.10	20.700	  67.22000000
M33 V0022   	DCEP    	20.48	21.840	  21.81600000
M33 V0023   	DCEP    	20.20	21.300	  13.56400000
M33 V0024   	DCEP    	20.70	22.380	  12.89400000
M33 V0028   	DCEP    	20.20	22.200	  18.58000000
M33 V0029   	DCEP    	19.70	21.100	  36.31000000
M33 V0030   	DCEP    	19.78	21.280	  46.00500000
M33 V0031   	DCEP    	18.92	21.080	  37.33000000
M33 V0032   	DCEP    	20.60	21.800	  19.99246000
M33 V0033   	DCEP    	20.00	22.300	  20.50000000
M33 V0034   	DCEP    	19.60	21.200	  22.16000000
M33 V0035   	DCEP    	20.00	21.700	  30.51400000
M33 V0036   	DCEP    	19.60	20.600	  35.80000000
M33 V0037   	DCEP    	20.30	21.400	  17.60200000
M33 V0038   	DCEP    	19.10	20.700	  25.07000000
M33 V0039   	DCEP    	20.10	21.600	  16.16600000
M33 V0040   	DCEP    	20.40	21.300	  12.92200000
M33 V0041   	DCEP    	19.83	21.470	  17.98200000
M33 V0042   	DCEP    	20.14	21.470	  30.35100000
M33 V0043   	DCEP    	19.90	22.100	  20.16600000
M33 V0044   	DCEP    	19.80	21.500	  30.10400000
M33 V0094   	DCEP    	20.70	21.500	   9.88000000
M33 V0095   	DCEP    	20.10	22.400	  21.27640000
M33 V0100   	DCEP    	20.00	21.500	  18.48228000
M33 V0102   	DCEP    	20.80	22.000	  18.09550000
M33 V0122   	DCEP    	19.40	19.900	  26.61000000
M33 V0131   	DCEP    	20.30	21.100	  12.84000000
M33 V0133   	DCEP    	19.39	20.950	  37.61790000
M33 V0137   	DCEP    	21.80	22.500	   3.23250000
M33 V0144   	DCEP    	19.50	20.200	  21.03000000
M33 V0146   	DCEP    	20.40	22.400	  12.82470000
M33 V0173   	DCEP    	20.00	20.700	  13.54000000
M33 V0178   	DCEP    	19.90	20.700	  11.26000000
M33 V0180   	DCEP    	19.30	20.200	  16.66000000
M33 V0189   	DCEP    	19.60	20.100	  21.51000000
M33 V0191   	DCEP    	20.10	20.900	  11.21000000
M33 V0199   	DCEP    	19.40	20.200	  18.55000000
M33 V0208   	DCEP    	19.40	20.100	  26.15000000
M33 V0210   	DCEP    	20.60	22.400	   8.54060000
M33 V0211   	DCEP    	19.40	22.000	  26.32180000
M33 V0216   	DCEP    	20.40	21.200	  13.00220000
M33 V0217   	DCEP    	21.00	21.700	   8.78490000
M33 V0223   	DCEP    	21.00	21.600	   8.74150000
M33 V0229   	DCEP    	19.70	20.300	  13.32000000
M33 V0236   	DCEP    	19.60	20.300	  25.87000000
M33 V0242   	DCEP    	19.40	20.100	  33.50000000
M33 V0243   	DCEP    	20.62	21.460	  19.93000000
M33 V0245   	DCEP    	19.64	21.080	  22.14000000
M33 V0249   	DCEP    	20.10	20.900	  15.62000000
M33 V0251   	DCEP    	19.80	20.600	  16.43000000
M33 V0252   	DCEP    	19.60	20.600	  26.91000000
M33 V0253   	DCEP    	20.50	23.000	  17.55760000
M33 V0261   	DCEP    	20.00	20.900	  13.14000000
M33 V0264   	DCEP    	19.90	20.800	  13.39000000
M33 V0267   	DCEP    	19.80	20.500	  15.09000000
M33 V0284   	DCEP    	19.80	20.800	  18.04000000
M33 V0288   	DCEP    	19.70	20.400	  14.11000000
M33 V0289   	DCEP    	19.20	20.000	  24.52000000
M33 V0302   	DCEP    	19.70	20.300	  13.44000000
M33 V0308   	DCEP    	19.90	20.600	  14.91000000
M33 V0318   	DCEP    	19.40	20.000	  20.91000000
M33 V0322   	DCEP    	19.50	20.200	  26.50000000
M33 V0327   	DCEP    	19.40	20.100	  24.17000000
M33 V0331   	DCEP    	20.30	21.000	  14.95000000
M33 V0342   	DCEP    	19.70	20.600	  14.99000000
M33 V0343   	DCEP    	19.40	19.900	  19.83000000
M33 V0344   	DCEP    	20.00	20.600	  12.73000000
M33 V0345   	DCEP    	19.70	20.500	  18.40000000
M33 V0349   	DCEP    	19.60	20.200	  27.88000000
M33 V0353   	DCEP    	19.90	20.600	  11.02000000
