Name	VarType	magMax	magMin	P
SMC V0146   	DCEP    	17.20	17.800	   1.25391200
SMC V0148   	DCEP    	15.90	16.300	   6.66373500
SMC V0163   	DCEP    	17.10	17.500	   1.85347200
SMC V0172   	DCEP    	13.75	14.480	  15.84083100
SMC V0175   	DCEP    	14.36	15.480	  13.72740000
SMC V0178   	DCEP    	16.70	17.900	   2.00198600
SMC V0179   	DCEP    	15.50	17.200	   3.57965400
SMC V0184   	DCEP    	16.10	17.000	   3.43960600
SMC V0185   	DCEP    	16.00	17.500	   2.41684300
SMC V0187   	DCEP    	16.90	17.800	   1.85311800
SMC V0188   	DCEP    	16.70	17.500	   3.14121700
SMC V0189   	DCEP    	14.60	16.100	  16.28900000
SMC V0190   	DCEP    	16.20	17.400	   3.27787200
SMC V0191   	DCEP    	14.46	15.310	   9.45143900
SMC V0193   	DCEP    	14.30	15.130	  14.38060000
SMC V0194   	DCEP    	15.90	17.000	   5.79468300
SMC V0195   	DCEP    	15.90	17.500	   3.67652500
SMC V0196   	DCEP    	14.70	15.590	   8.49344600
SMC V0198   	DCEP    	15.20	17.000	   7.94085000
SMC V0202   	DCEP    	16.80	17.200	   2.76993000
SMC V0203   	DCEP    	16.20	17.400	   3.48920800
SMC V0204   	DCEP    	13.28	14.250	  18.89779000
SMC V0205   	DCEP    	13.94	14.670	  17.94070600
SMC V0207   	DCEP    	17.40	18.000	   1.20542300
SMC V0210   	DCEP    	16.20	18.200	   1.73095700
SMC V0211   	DCEP    	14.80	15.900	  10.33506000
SMC V0212   	DCEP    	16.30	17.500	   3.06859500
SMC V0213   	DCEP    	15.60	16.800	   4.91569600
SMC V0214   	DCEP    	14.50	15.700	  13.47672600
SMC V0215   	DCEP    	17.20	18.000	   2.23263100
SMC V0216   	DCEP    	16.40	17.500	   3.80950000
SMC V0217   	DCEP    	16.80	17.500	   2.13345400
SMC V0218   	DCEP    	13.47	14.640	  28.44302900
SMC V0219   	DCEP    	16.40	16.800	   3.27053900
SMC V0220   	DCEP    	16.70	17.400	   2.24803000
SMC V0221   	DCEP    	16.80	17.900	   2.01785000
SMC V0224   	DCEP    	16.40	17.500	   3.73791200
SMC V0225   	DCEP    	14.60	15.800	  13.08774000
SMC V0226   	DCEP    	16.40	17.800	   3.07526700
SMC V0227   	DCEP    	17.30	18.200	   1.52694600
SMC V0228   	DCEP    	16.80	18.000	   2.30626800
SMC V0231   	DCEP    	15.00	16.200	   7.48279600
SMC V0233   	DCEP    	11.53	12.440	 127.61000000
SMC V0235   	DCEP    	14.64	15.870	  12.41326200
SMC V0236   	DCEP    	16.60	17.400	   2.16629800
SMC V0237   	DCEP    	16.60	17.500	   1.99876100
SMC V0238   	DCEP    	16.60	17.500	   2.47457400
SMC V0239   	DCEP    	13.95	15.590	  16.74200600
SMC V0240   	DCEP    	15.80	16.400	  10.67623300
SMC V0241   	DCEP    	16.30	16.800	   8.84447000
SMC V0242   	DCEP    	16.30	17.200	   2.74756200
SMC V0243   	DCEP    	17.50	18.300	   1.39006900
SMC V0245   	DCEP    	16.50	17.700	   4.38842900
SMC V0247   	DCEP    	17.40	18.000	   1.75428400
SMC V0251   	DCEP    	16.80	17.700	   2.01137200
SMC V0254   	DCEP    	16.60	18.000	   2.63827900
SMC V0257   	DCEP    	14.06	14.990	  30.93300000
SMC V0258   	DCEP    	17.70	18.300	   1.58772800
SMC V0259   	DCEP    	15.70	17.000	   6.22882200
SMC V0261   	DCEP    	15.40	16.300	   8.39623500
SMC V0263   	DCEP    	17.30	17.700	   1.62765200
SMC V0265   	DCEP    	15.20	16.800	  15.77411500
SMC V0269   	DCEP    	15.60	16.500	  10.52808900
SMC V0270   	DCEP    	17.20	18.200	   1.44507200
SMC V0271   	DCEP    	15.90	17.500	   3.90938000
SMC V0272   	DCEP    	15.00	16.200	  13.70935500
SMC V0273   	DCEP    	18.00	18.400	   1.70733500
SMC V0274   	DCEP    	16.00	18.000	   3.26229300
SMC V0276   	DCEP    	17.10	18.000	   1.69914300
SMC V0277   	DCEP    	17.80	18.400	   1.66681900
SMC V0278   	DCEP    	17.30	17.800	   2.40328600
SMC V0280   	DCEP    	15.10	16.400	   5.75000000
SMC V0281   	DCEP    	15.90	16.600	   3.62043700
SMC V0282   	DCEP    	15.30	16.600	  10.88399800
SMC V0283   	DCEP    	15.60	16.800	   4.89694400
SMC V0284   	DCEP    	13.19	14.400	  31.93019000
SMC V0285   	DCEP    	15.20	16.600	  14.42897300
SMC V0286   	DCEP    	17.10	17.700	   1.66924000
SMC V0287   	DCEP    	16.20	17.300	   4.65445300
SMC V0288   	DCEP    	16.90	17.900	   1.90342800
SMC V0289   	DCEP    	16.60	18.100	   1.90960000
SMC V0291   	DCEP    	16.40	17.500	   4.65000000
SMC V0292   	DCEP    	15.90	16.800	   7.72290200
SMC V0294   	DCEP    	16.90	17.700	   1.93495500
SMC V0295   	DCEP    	16.20	17.600	   2.57749900
SMC V0297   	DCEP    	17.00	18.000	   1.43902700
SMC V0299   	DCEP    	16.90	17.600	   1.69637900
SMC V0301   	DCEP    	14.80	16.300	   8.06116100
SMC V0304   	DCEP    	17.20	17.900	   2.05633100
SMC V0307   	DCEP    	16.20	17.600	   4.34110700
SMC V0308   	DCEP    	15.80	17.300	   4.51155600
SMC V0310   	DCEP    	15.10	16.100	  10.48580700
SMC V0311   	DCEP    	17.30	18.200	   1.73208000
SMC V0312   	DCEP    	16.50	17.800	   1.77927300
SMC V0313   	DCEP    	16.30	17.600	   4.50602700
SMC V0315   	DCEP    	16.70	18.100	   1.91474800
SMC V0316   	DCEP    	15.12	16.140	   6.64816300
SMC V0317   	DCEP    	16.20	17.300	   3.91112800
SMC V0318   	DCEP    	17.30	18.200	   2.24354400
SMC V0319   	DCEP    	17.30	17.900	   1.91463800
SMC V0320   	DCEP    	15.90	16.900	   6.46383200
SMC V0322   	DCEP    	17.70	18.600	   1.56416900
SMC V0323   	DCEP    	17.10	18.200	   2.15395200
SMC V0324   	DCEP    	15.40	16.300	   8.84955800
SMC V0325   	DCEP    	17.40	18.000	   1.63447200
SMC V0326   	DCEP    	17.00	17.700	   1.92762500
SMC V0328   	DCEP    	16.80	17.600	   3.56979700
SMC V0330   	DCEP    	16.60	17.600	   2.07503700
SMC V0332   	DCEP    	16.70	18.200	   2.45910800
SMC V0333   	DCEP    	16.20	17.700	   3.50082400
SMC V0334   	DCEP    	16.00	17.400	   5.66235400
SMC V0335   	DCEP    	16.60	17.400	   1.57934700
SMC V0336   	DCEP    	17.10	17.800	   3.68353300
SMC V0338   	DCEP    	17.00	18.000	   2.29435200
SMC V0339   	DCEP    	16.00	16.900	   4.98812800
SMC V0340   	DCEP    	16.80	18.100	   1.74006900
SMC V0342   	DCEP    	17.40	18.200	   2.00999400
SMC V0343   	DCEP    	17.00	17.900	   1.97038100
SMC V0344   	DCEP    	17.20	18.300	   1.53206000
SMC V0346   	DCEP    	17.20	17.900	   1.66230000
SMC V0347   	DCEP    	16.90	18.100	   6.01153300
SMC V0348   	DCEP    	16.90	17.500	   1.71556000
SMC V0349   	DCEP    	15.00	16.400	  10.43885000
SMC V0350   	DCEP    	16.20	17.200	   7.33458700
SMC V0351   	DCEP    	16.70	17.800	   2.39281500
SMC V0352   	DCEP    	15.42	16.620	   4.54717000
SMC V0354   	DCEP    	17.40	18.300	   1.60365400
SMC V0356   	DCEP    	11.97	13.060	  65.93700000
SMC V0357   	DCEP    	16.80	18.000	   4.12651900
SMC V0360   	DCEP    	16.70	18.000	   3.13120300
SMC V0362   	DCEP    	17.80	18.300	   1.99334200
SMC V0363   	DCEP    	13.79	14.940	  23.97284000
SMC V0366   	DCEP    	17.40	18.000	   2.38304000
SMC V0369   	DCEP    	15.80	17.400	   5.80800000
SMC V0370   	DCEP    	17.30	18.100	   3.04889800
SMC V0371   	DCEP    	15.70	16.900	   3.05594400
SMC V0375   	DCEP    	15.80	16.900	   5.83301300
SMC V0377   	DCEP    	17.00	17.900	   1.83780400
SMC V0379   	DCEP    	16.00	17.000	   4.88531700
SMC V0380   	DCEP    	17.20	18.000	   1.70740400
SMC V0386   	DCEP    	16.00	16.600	   1.71230000
SMC V0388   	DCEP    	15.10	16.300	  27.22839600
SMC V0389   	DCEP    	15.40	16.800	   7.01188500
SMC V0391   	DCEP    	17.30	18.200	   1.18755200
SMC V0401   	DCEP    	16.20	17.700	   2.03712500
SMC V0406   	DCEP    	16.40	17.000	  11.77024500
SMC V0411   	DCEP    	15.18	15.990	   8.37621300
