GVhel	mag	l_mag	Type
   321	 8.5	=	Ia
   626	12.9	=	Ia
  1730	11.6	=	Ia
  1142	11.8	=	Ia
   954	13.3	=	Ia
  1406	14.0	>	Ia
  1859	13.5	=	Ia
   504	11.9	=	Ia
   404	 8.4	=	Ia
   954	12.3	=	Ia
  1808	12.0	=	Ia
  2222	13.5	=	Ia
  2000	14.2	=	Ia
  1239	12.9	=	Ia
  3503	14.0	=	Ia
  1157	13.1	=	Ia
  -261	12.4	=	Ia
  1476	13.9	=	Ia
  1981	13.0	>	Ia
  3037	14.4	=	Ia
   547	12.5	=	Ia
  4547	15.0	>	Ia
  2217	14.0	>	Ia
  2204	14.2	>	Ia
  2233	13.7	>	Ia
  5523	16.6	>	Ia
  7012	15.8	>	Ia
 24013	18.0	>	Ia
  8842	16.0	>	Ia
  2507	14.0	=	Ia
   727	11.9	=	Ia
  6538	16.2	=	Ia
  1519	12.6	=	Ia
  4393	16.5	>	Ia
 17688	18.7	>	Ia
 10894	19.0	>	Ia
 18287	18.8	>	Ia
  7654	18.7	>	Ia
 10727	15.0	>	Ia
  2711	12.4	=	Ia
  1010	12.7	=	Ia
  9193	16.6	=	Ia
  4812	17.5	>	Ia
 11992	17.3	=	Ia
 11702	17.7	=	Ia
  9842	18.0	>	Ia
 19000	18.0	>	Ia
 15080	17.9	=	Ia
  2169	14.4	>	Ia
 16489	17.8	=	Ia
  9426	16.7	=	Ia
  2625	13.8	>	Ia
  3280	16.0	>	Ia
 19187	19.5	>	Ia
 20985	18.5	>	Ia
  4264	14.7	=	Ia
 15830	18.5	>	Ia
  9422	18.0	>	Ia
  3042	15.5	>	Ia
 15000	18.5	>	Ia
  6408	16.0	>	Ia
  3813	17.0	>	Ia
  9021	17.5	>	Ia
  4782	18.5	>	Ia
  5436	18.8	>	Ia
  1877	12.6	=	Ia
 16489	17.8	>	Ia
 17988	20.0	>	Ia
  1586	13.6	=	Ia
 13491	17.9	=	Ia
  3080	16.3	=	Ia
 15589	18.2	>	Ia
 11992	17.8	>	Ia
  7615	16.1	=	Ia
 13720	18.0	>	Ia
 22484	18.6	=	Ia
  7795	16.6	=	Ia
  4197	14.6	=	Ia
  8957	18.0	>	Ia
 30279	19.4	=	Ia
 18287	18.2	=	Ia
  8669	17.5	>	Ia
  5996	15.2	=	Ia
 10793	17.4	=	Ia
 13491	17.7	=	Ia
137305	22.0	>	Ia
 17598	18.1	=	Ia
 12891	17.3	=	Ia
  5549	15.9	=	Ia
 23684	18.5	=	Ia
 26382	19.3	=	Ia
 19000	18.3	=	Ia
 20686	18.8	=	Ia
  3821	18.0	>	Ia
  8190	18.0	>	Ia
  7257	17.0	=	Ia
 12861	18.0	>	Ia
  1926	14.0	>	Ia
 23384	18.5	>	Ia
 15589	17.8	=	Ia
 26382	18.0	>	Ia
  5989	17.1	>	Ia
  1354	13.9	>	Ia
  5712	15.5	=	Ia
